Date, Open, High, Low, Close
12/14/07, 28708.00, 29651.21, 28613.66, 28708.00
12/13/07, 29388.65, 30307.10, 29388.65, 29388.65
12/12/07, 30307.10, 30468.61, 30089.47, 30307.10
12/11/07, 30468.61, 30703.44, 30375.15, 30468.61
12/10/07, 30464.38, 30568.71, 30227.03, 30464.38
12/07/07, 30390.67, 30710.09, 30133.74, 30390.67
12/06/07, 30133.74, 30403.52, 29858.39, 30133.74
12/05/07, 30118.15, 30188.14, 29919.23, 30118.15
12/04/07, 29947.49, 30319.63, 29793.56, 29947.49
12/03/07, 30303.67, 30532.21, 30183.66, 30303.67
11/30/07, 30307.80, 30564.54, 29925.76, 30307.80
11/29/07, 29925.76, 29943.43, 29410.07, 29925.76
11/28/07, 29410.07, 29410.07, 28789.31, 29410.07
11/27/07, 29286.30, 29531.44, 29093.92, 29286.30
11/26/07, 29448.69, 29997.71, 29281.99, 29448.69
11/23/07, 29602.59, 29651.20, 29127.42, 29602.59
11/22/07, 29127.42, 29208.20, 28707.92, 29127.42
11/21/07, 29146.35, 29542.10, 29040.86, 29146.35
11/20/07, 29542.10, 29542.10, 28805.42, 29542.10
11/19/07, 29222.48, 30056.83, 29222.48, 29222.48
11/16/07, 29868.06, 30144.84, 29616.68, 29868.06
11/15/07, 30144.84, 30681.75, 30020.64, 30144.84
11/14/07, 30681.66, 30869.09, 30454.76, 30681.66
11/13/07, 30454.76, 30841.47, 30341.84, 30454.76
11/12/07, 30774.17, 31091.82, 30582.62, 30774.17
11/09/07, 30920.21, 31516.44, 30904.20, 30920.21
11/08/07, 31055.12, 31099.32, 30166.65, 31055.12
11/07/07, 30767.76, 31069.60, 30715.44, 30767.76
11/06/07, 30764.63, 30823.05, 30346.38, 30764.63
11/05/07, 30346.38, 30555.07, 30085.82, 30346.38
11/02/07, 30553.44, 30816.19, 30320.35, 30553.44
11/01/07, 30816.19, 31518.79, 30687.23, 30816.19
10/31/07, 31334.99, 31334.99, 31026.30, 31334.99
10/30/07, 31244.67, 31388.92, 31141.30, 31244.67
10/29/07, 31211.44, 31303.21, 30804.86, 31211.44
10/26/07, 30804.86, 30853.22, 30417.46, 30804.86
